filename	bjd	rv	rvc	logS
HARPS.2008-03-01T09:10:37.358	2454526.88326	-22.318132469600002	0.0010623762552341987	-1.39976466071
HARPS.2008-03-01T09:11:19.791	2454526.88375	-22.3184109502	0.0007841489749758068	-1.3970187040000002
HARPS.2008-03-01T09:12:01.862	2454526.88423	-22.316385619699997	0.0028097327947200768	-1.39803922403
HARPS.2008-03-01T09:12:43.775	2454526.88472	-22.3153465323	0.0038490437121332377	-1.3992173308000002
HARPS.2008-03-01T09:13:25.168	2454526.8852	-22.317703099499997	0.0014926925789744416	-1.39866658925
HARPS.2008-03-02T09:17:44.667	2454527.88827	-22.318235771399998	0.0014514535245666593	-1.39935670879
HARPS.2008-03-02T09:19:08.401	2454527.88925	-22.3196031728	8.455131346352118e-05	-1.40026855562
HARPS.2008-03-02T09:19:50.833	2454527.88973	-22.3205078506	-0.0008199029691162707	-1.3998561292200002
HARPS.2008-03-02T09:20:32.525	2454527.89022	-22.3199069081	-0.00021870714937577418	-1.3990770788799998
HARPS.2008-03-02T09:21:14.797	2454527.8907	-22.3192515866	0.0004368527692015789	-1.4006117204100001
HARPS.2008-03-02T09:21:56.750	2454527.8911900003	-22.3197153742	-2.6726214542804883e-05	-1.39879073659
HARPS.2008-03-02T09:22:38.432	2454527.89168	-22.319301746399997	0.0003871623557820669	-1.39991244812
HARPS.2008-03-02T09:23:20.384	2454527.89216	-22.319068535	0.0006206121743588255	-1.40240120742
HARPS.2008-03-02T09:24:04.057	2454527.89267	-22.3186898509	0.0009995421435178287	-1.4004593778999999
HARPS.2008-03-03T08:14:40.586	2454528.8445200003	-22.3186617418	0.001494005434821588	-1.40165982139
HARPS.2008-03-03T08:55:45.377	2454528.87308	-22.3178496173	0.002320137026345037	-1.4026140024899998
HARPS.2008-03-03T08:56:27.359	2454528.8735700003	-22.317604693699998	0.0025653064955051263	-1.40094545171
HARPS.2008-03-03T08:57:10.232	2454528.87406	-22.318370085	0.0018001461635002158	-1.40103453287
HARPS.2008-03-03T08:57:51.404	2454528.87454	-22.3199320212	0.0002384409315006053	-1.3987149042500002
HARPS.2008-03-03T08:58:33.816	2454528.87502	-22.319913995700002	0.0002567048500772273	-1.40091008518
