name	center	ew	ew_diff	asym_diff	logS_ew_p	logS_ew_pp	logS_asym_p	logS_asym_pp	rv_ew_p	rv_ew_pp	rv_asym_p	rv_asym_pp
FeI	4736.78	0.13009	0.00049	0.00194	0.22318	0.00000	0.31484	0.00000	-0.20467	0.00000	-0.05243	0.01235
MnI	4754.04	0.15775	-0.00068	0.00832	-0.21531	0.00000	0.39540	0.00000	0.37202	0.00000	-0.22963	0.00000
TiI	4759.27	0.07045	-0.00023	0.00565	-0.11746	0.00000	0.19939	0.00000	0.28029	0.00000	-0.27625	0.00000
MnI	4761.53	0.08601	-0.00056	0.00456	-0.07906	0.00016	-0.05438	0.00945	0.06590	0.00165	0.09853	0.00000
MnI	4762.38	0.12554	-0.00003	0.00992	-0.01598	0.44608	0.25843	0.00000	0.17062	0.00000	-0.24642	0.00000
FeI	4772.82	0.11562	0.00043	0.00621	0.13380	0.00000	0.49759	0.00000	0.13352	0.00000	-0.23054	0.00000
MnI	4783.42	0.23024	-0.00054	0.00390	-0.15460	0.00000	0.33246	0.00000	0.03137	0.13458	-0.31744	0.00000
MnI	4823.51	0.16292	0.00045	0.01170	0.06254	0.00283	0.36604	0.00000	0.08879	0.00002	-0.09564	0.00000
VI	4827.46	0.07391	-0.00250	0.00386	-0.89123	0.00000	0.08710	0.00003	0.16400	0.00000	-0.00147	0.94428
VI	4831.65	0.07126	-0.00197	0.00852	-0.78589	0.00000	0.41850	0.00000	0.25864	0.00000	-0.25720	0.00000
VI	4832.43	0.06075	-0.00159	0.00653	-0.65950	0.00000	0.21748	0.00000	0.18147	0.00000	-0.16256	0.00000
TiI+FeI	4840.88	0.09522	0.00061	0.00186	0.40968	0.00000	0.22468	0.00000	-0.07451	0.00037	0.03711	0.07668
VI	4851.5	0.07844	-0.00241	0.00601	-0.81005	0.00000	0.19504	0.00000	0.24422	0.00000	-0.17477	0.00000
FeI	4859.75	0.17102	0.00235	0.00612	0.62739	0.00000	0.21396	0.00000	-0.18332	0.00000	-0.11097	0.00000
Hbeta	4861.33	0.52638	0.02857	-0.00617	0.93985	0.00000	-0.67618	0.00000	-0.47287	0.00000	0.31766	0.00000
VI	4875.49	0.08975	-0.00192	-0.00020	-0.73445	0.00000	0.18527	0.00000	0.28571	0.00000	-0.14254	0.00000
VI	4881.56	0.11241	-0.00196	0.00983	-0.81140	0.00000	0.39531	0.00000	0.29256	0.00000	-0.16333	0.00000
FeI	4890.76	0.11111	0.00054	0.00827	0.27444	0.00000	0.33144	0.00000	0.08806	0.00003	0.17409	0.00000
FeI	4891.5	0.08948	0.00020	0.02128	0.01810	0.38808	0.37797	0.00000	0.18980	0.00000	-0.13172	0.00000
FeI	4920.51	0.53942	-0.00425	0.00538	-0.62774	0.00000	0.42532	0.00000	0.22938	0.00000	-0.17395	0.00000
FeII	4923.93	0.12562	0.00291	0.00452	0.82152	0.00000	0.16107	0.00000	-0.23590	0.00000	-0.06189	0.00313
BaII	4934.08	0.15136	-0.00008	-0.00719	0.25338	0.00000	-0.54477	0.00000	0.00084	0.96813	0.08940	0.00002
FeI	4938.82	0.14264	0.00047	0.00474	0.54519	0.00000	0.41101	0.00000	-0.14564	0.00000	-0.18281	0.00000
FeI	4939.69	0.12036	0.00010	0.01022	-0.11866	0.00000	0.60431	0.00000	0.14852	0.00000	-0.21487	0.00000
CrI+FeI	4942.49	0.12040	-0.00148	0.00574	-0.36918	0.00000	0.37419	0.00000	0.24445	0.00000	-0.26400	0.00000
TiI	4981.74	0.14796	0.00139	0.00118	0.48046	0.00000	0.23993	0.00000	-0.17509	0.00000	-0.03690	0.07831
TiI	4991.07	0.15012	-0.00016	0.01144	0.47964	0.00000	0.55902	0.00000	-0.04398	0.03586	-0.30796	0.00000
FeI	4994.13	0.10720	-0.00059	0.02332	-0.54043	0.00000	0.74513	0.00000	0.16922	0.00000	-0.25264	0.00000
TiI	4999.51	0.14118	0.00054	0.00409	0.52819	0.00000	0.21411	0.00000	-0.10425	0.00000	-0.06266	0.00278
TiI+FeI	5007.22	0.15671	-0.00068	0.02100	-0.35646	0.00000	0.68381	0.00000	0.05814	0.00551	-0.21774	0.00000
TiI	5009.65	0.06251	-0.00094	0.01060	-0.57357	0.00000	0.50996	0.00000	0.22609	0.00000	-0.33518	0.00000
FeI	5012.08	0.10134	-0.00562	0.02024	-0.92584	0.00000	0.60626	0.00000	0.28408	0.00000	-0.24363	0.00000
TiI+CrI	5013.3	0.09726	-0.00043	0.00552	-0.39671	0.00000	0.34856	0.00000	0.14816	0.00000	-0.32499	0.00000
